spotify ranking,number of total streams,name of song
450,"4,365,150",Anti-Hero - Roosevelt Remix
451,"4,194,074","Macavity - From The Motion Picture Soundtrack ""Cats"""
452,"2,962,389",Lavender Haze - Jungle Remix
453,"2,950,346",The Fate of Ophelia - Loud Luxury Remix
454,"2,713,902",Love Story - Live From Clear Channel Stripped 2008
455,"2,696,599",Christmas Tree Farm - Recorded Live at the 2019 iHeartRadio Jingle Ball
456,"2,458,757",You're Not Sorry - CSI Remix
457,"2,428,534",Beautiful Eyes - Live From Clear Channel Stripped 2008
458,"2,030,824",Fortnight (feat. Post Malone) - Cults Remix
459,"1,649,963",Fearless - Live From Clear Channel Stripped 2008
460,"1,514,446",Wildest Dreams (Arr. Lawson for Harp)
461,"1,393,408",Love Story - J Stax Radio Mix
462,"1,362,800",The Last Time - Karaoke Version
463,"1,330,765",The Fate of Ophelia - Track by Track
464,"1,179,225",Elizabeth Taylor - Track by Track
465,"1,090,449",Cruel Summer - LP Giobbi Remix - Extended Version
466,"1,086,845",Opalite - Track by Track
467,"1,053,999",Untouchable - Live From Clear Channel Stripped 2008
468,"1,036,548",Father Figure - Track by Track
469,"1,003,358",Teardrops On My Guitar - Live From Clear Channel Stripped 2008
470,"1,000,452",Should've Said No - Live From Clear Channel Stripped 2008
471,"975,795",Picture To Burn - Live From Clear Channel Stripped 2008
472,"960,624",Eldest Daughter - Track by Track
473,"874,039",Ruin The Friendship - Track by Track
474,"869,491",Actually Romantic - Track by Track
475,"864,113",...Ready For It? - Karaoke Version
476,"824,434",Wi$h Li$t - Track by Track
477,"811,530",Don't Blame Me - Karaoke Version
478,"809,558",CANCELLED! - Track by Track
479,"790,594",Style - Karaoke Version
480,"750,353",Blank Space - Karaoke Version
481,"732,151",Look What You Made Me Do - Karaoke Version
482,"708,081",The Life of a Showgirl - Track by Track
483,"706,335",Change - Live From Clear Channel Stripped 2008
484,"692,442",Honey - Track by Track
485,"612,653",Love Story - Instrumental with BGV
486,"603,372",Delicate - Karaoke Version
487,"584,688",Shake It Off - Karaoke Version
488,"554,610",Hey Stephen - Commentary
489,"517,823",All Too Well - Commentary
490,"497,060",Getaway Car - Karaoke Version
491,"495,420",Call It What You Want - Karaoke Version
492,"493,903",I Did Something Bad - Karaoke Version
493,"491,515",…Ready For It? - Commentary
494,"474,166",You Belong With Me - Instrumental with BGV
495,"466,798",Don't Blame Me - Commentary
496,"464,508",Wildest Dreams - Karaoke Version
497,"422,339",I Did Something Bad - Commentary
498,"416,270",End Game - Commentary
499,"415,304",We Are Never Ever Getting Back Together - Commentary
500,"414,434",End Game - Karaoke Version
